Crime Id,Original Crime Type Name,Report Date,Call Date,Offense Date,Call Time,Call Date Time,Disposition,Address,City,State,Address Type,Case Status
181183076,Muni Inspection,2018-04-28T00:00:00.000,2018-04-28T00:00:00.000,2018-04-28T00:00:00.000,18:07,2018-04-28T18:07:00.000,HAN,Van Ness Station,,CA,Geo-Override,Closed
190753671,Passing Call,2019-03-16T00:00:00.000,2019-03-16T00:00:00.000,2019-03-16T00:00:00.000,20:31,2019-03-16T20:31:00.000,Not recorded,3600 Block Of Lyon St,San Francisco,CA,Common Location,Closed
190090430,Vandalism,2019-01-09T00:00:00.000,2019-01-09T00:00:00.000,2019-01-09T00:00:00.000,06:12,2019-01-09T06:12:00.000,ADV,700 Block Of Taylor St,San Francisco,CA,Premise Address,Withdrawn
172590269,Drunk Driver,2017-09-16T00:00:00.000,2017-09-16T00:00:00.000,2017-09-16T00:00:00.000,01:42,2017-09-16T01:42:00.000,GOA,Geary Bl/funston Av,San Francisco,CA,Intersection,Pending
191672685,Passing Call,2019-06-16T00:00:00.000,2019-06-16T00:00:00.000,2019-06-16T00:00:00.000,17:54,2019-06-16T17:54:00.000,HAN,Santa Clara Av/monterey Bl,San Francisco,CA,Intersection,Closed
173383022,Passing Call,2017-12-04T00:00:00.000,2017-12-04T00:00:00.000,2017-12-04T00:00:00.000,17:11,2017-12-04T17:11:00.000,Not recorded,600 Block Of Market St,San Francisco,CA,Common Location,Withdrawn
162752987,Grand Theft,2016-10-01T00:00:00.000,2016-10-01T00:00:00.000,2016-10-01T00:00:00.000,17:26,2016-10-01T17:26:00.000,REP,1500 Block Of California St,San Francisco,CA,Premise Address,Closed
173282325,Suspicious Person,2017-11-24T00:00:00.000,2017-11-24T00:00:00.000,2017-11-24T00:00:00.000,16:22,2017-11-24T16:22:00.000,CIT,1100 Block Of Market St,San Francisco,CA,Premise Address,Closed
161114597,Homeless Complaint,2016-04-20T00:00:00.000,2016-04-20T00:00:00.000,2016-04-20T00:00:00.000,23:21,2016-04-20T23:21:00.000,ADV,800 Block Of Post St,San Francisco,CA,Premise Address,Pending
171143011,Threats / Harassment,2017-04-24T00:00:00.000,2017-04-24T00:00:00.000,2017-04-24T00:00:00.000,17:11,2017-04-24T17:11:00.000,GOA,600 Block Of Dolores St,San Francisco,CA,Common Location,Pending
163471219,Suspicious Vehicle,2016-12-12T00:00:00.000,2016-12-12T00:00:00.000,2016-12-12T00:00:00.000,10:02,2016-12-12T10:02:00.000,ARR,6th St/market St,San Francisco,CA,Intersection,Withdrawn
172583130,Homeless Complaint,2017-09-15T00:00:00.000,2017-09-15T00:00:00.000,2017-09-15T00:00:00.000,17:01,2017-09-15T17:01:00.000,ADV,1000 Block Of 16th St,San Francisco,CA,Premise Address,Closed
190563718,Traf Violation Cite,2019-02-25T00:00:00.000,2019-02-25T00:00:00.000,2019-02-25T00:00:00.000,22:18,2019-02-25T22:18:00.000,Not recorded,Athens St/france Av,San Francisco,CA,Intersection,Withdrawn
